"Year","Average number of letters sent from Erasmus per correspondent this year"
"1484","1.0000"
"1487","2.2500"
"1488","2.0000"
"1489","4.3333"
"1494","1.3333"
"1495","1.0000"
"1496","1.0000"
"1497","1.6000"
"1498","1.2000"
"1499","2.2727"
"1500","2.2222"
"1501","1.6667"
"1502","1.0000"
"1503","1.0000"
"1504","1.0000"
"1505","1.0000"
"1506","1.2000"
"1507","1.5000"
"1508","1.5000"
"1511","4.0000"
"1512","1.2222"
"1513","1.7500"
"1514","1.4000"
"1515","1.3750"
"1516","1.4242"
"1517","1.7763"
"1518","1.6588"
"1519","1.4267"
"1520","1.3108"
"1521","1.3864"
"1522","1.2500"
"1523","1.2286"
"1524","1.4000"
"1525","1.3692"
"1526","1.1774"
"1527","1.2533"
"1528","1.3247"
"1529","1.5231"
"1530","1.4110"
"1531","1.5362"
"1532","1.8780"
"1533","1.5957"
"1534","1.7826"
"1535","1.5833"
"1536","1.1875"
