"Correspondents who wrote to but did not receive any letters by Pirckheimer"
"Johannes Rhagius Aesticampianus"
"Ulrich von Albersdorff"
"Tranquillus Parthenius Andronicus"
"Johannes Aventinus"
"Balthasar Merklin"
"Nikolaus Basellius"
"Bernardina"
"Theobald Billicanus"
"Johannes Boemio"
"Johannes Brenz"
"Martin Bucer"
"Peter Burckhardt"
"Hermann von dem Busche"
"Hermann Buschler"
"Joachim Camerarius"
"Wolfgang Faber Capito"
"Johannes Baptista de Castro Campi gen. Barbeta"
"Benedictus Chelidonius"
"Alvise Conti"
"Konrad Cordatus"
"Johannes Cuno"
"Hans Denck"
"Elisabeth Diethay"
"Ambrosius Dietrich"
"Bürgermeister von Donauwörth"
"Rat von Donauwörth"
"Hans Egen"
"Bürgermeister zu Eichstätt"
"Rat zu Eichstätt"
"Johannes Faber"
"Friedrich Fischer"
"Georg Flach von Schwarzenberg"
"Sebastian Fürnschild"
"Heinrich Fragner"
"Andreas Frank"
"Pfalzgraf Friedrich"
"Wolfgang Fries"
"C. Fuchs"
"Giovanni Galeazzo di San Severino"
"Brigitta Geuder"
"Martin Geuder d. J."
"Heinrich Glareanus"
"Balthasar Graf"
"Lienhart Groland"
"Christoph Gugel"
"Katharina Habermayerin // Katharina, Priorin des Klosters Marienburg"
"Sebastian Haller"
"Hieronymus Haller"
"Gregor Haloander"
"Christoph Hegendorf"
"Graf Heinrich von Nassau"
"Jakob Heller"
"Katharina Herden // Katharina, Priorin von Marienstein"
"Johannes Hessus"
"Sebastian Hircanus"
"Graf Albrecht von Hohenlohe"
"Graf Georg von Hohenlohe"
"Bürgermeister zu Hollfeld"
"Rat zu Hollfeld"
"Gabriel Hummelberg"
"Hans Imhoff d. Ä."
"Hans Imhoff jun."
"Hieronymus Imhoff"
"Sebastian Imhoff"
"Lorenz Jechler"
"Michael von Kaden"
"Balthasar Käuffelin"
"Konrad Klays"
"Johann Jakob von Klingenberg"
"Katharina Koler"
"Leonhard Kreber"
"Michael Kreber"
"Magdalena Kreß"
"Johannes Laeus"
"Johannes Lange"
"Gangolf Leupolt"
"Gottfried von Lier"
"Jakob Locher Philomusus"
"Hans Lochinger"
"Martin Löffelholz"
"Johann Lotzer"
"Martin Luther"
"Melchior Macrinus"
"Gabriel de Malon"
"David de Marchello"
"Michael Marstaller"
"Karl von Miltitz"
"Rupert von Mosham "
"Brigitta von Murr"
"Eufemia von Murr"
"Friedrich Nausea"
"Johann Neudörffer"
"Konrad Nicolai"
"Die Älteren Herren des Nürnberger Rats"
"Sebastian Öffl"
"Vincentius Opsopoeus"
"Konrad Pellicanus"
"Julius Pflug"
"Sebald Pfinzing"
"Philipp Plaß"
"Wolfgang Plick"
"Hektor Pömer"
"Johann Pöll"
"Margareta Rauch // Margaretha Reuin"
"Johann Rehlinger"
"Martin Reinhart"
"Friedrich Reyffsteck"
"Urbanus Rhegius"
"Paulus Rizius"
"Eustachius Rieter"
"Johannes Romming"
"Jobst Ruchamer"
"Andreas Rüttel"
"Petrus Savorgnanus"
"Wolf Schanz"
"Karl Sigismund Schenk"
"Christoph Scheurl"
"Hans Schick"
"Michel Schluchter"
"Johann Schöner"
"Hieronymus Schutter"
"Paul von Schwarzenberg"
"Thomas Schweicker"
"Alexander Schweis"
"Georg Sibutus"
"Jakob Spiegel"
"Georg Sporer"
"Johannes Stabius"
"Peter Stahel"
"Hans von Sternberg zu Callenberg"
"Hans Straub"
"Lukas Straub"
"Wolfgang Stromer"
"Johann Sturio"
"Benedikt Swertfürland"
"Hubert Thomas"
"Wolfgang von Thurn"
"Petrus Tritonius"
"Hans Truchseß"
"Martin Truchseß"
"Endres Tucher"
"Johann Tucher"
"Martin Tucher"
"Matthias Vellgner"
"Thomas Venatorius"
"Florenz von Venningen"
"Antonio de Vento"
"Christoph Vinster"
"Johann Vögelin"
"Hieronymus Walther"
"Lenhart Warburdt"
"Veit Werler"
"Johannes Werner"
"Veit Widemann"
"Hans Wildenhaimer"
"Hans Wildreich"
"Caspar Wintzer"
"Johann von Wirsberg"
"Balthasar Wolff von Wolfstal"
