"Id","letter_no_in_edition","sender_id","sender_inferred","sender_uncertain","recipient_id","recipient_inferred","recipient_uncertain","Label","send_date_year1","send_date_computable1","send_date_has_range","send_date_year2","send_date_computable2","send_date_inferred","send_date_approx","send_date_uncertain","Source","source_loc_inferred","source_loc_uncertain","Target","target_loc_inferred","target_loc_uncertain","letter_language","letter_type_genus","letter_type_x_to_x"
"era_cwe_187a","187A [CWE] // 187A [ALLEN]","95a7c0a6-f582-4b68-b2d5-6fe4f238fb08","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","187A From Julius II Rome, 4 January 1506 [CWE]","1506","1506-01-04","0","1506","1506-01-04","0","0","0","rome_IT_gid_3169070","0","0","london_GB_gid_2643743","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_1261","1261 [CWE] // 1261 [ALLEN]","639f3ce8-be9f-4993-b200-3fcde3a3b4e9","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","1261 From Andrea Alciati Avignon, 24 February 1522 [CWE]","1522","1522-02-24","0","1522","1522-02-24","0","0","0","avignon_FR_gid_3035681","0","0","basel_CH_gid_2661604","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_1288","1288 [CWE] // 1288 [ALLEN]","639f3ce8-be9f-4993-b200-3fcde3a3b4e9","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","1288 From Andrea Alciati [Noves, c 29 May 1522] [CWE]","1522","1522-05-29","0","1522","1522-05-29","1","1","0","noves_FR_gid_2989935","1","0","basel_CH_gid_2661604","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_2276","2276 [CWE] // 2276 [ALLEN]","639f3ce8-be9f-4993-b200-3fcde3a3b4e9","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","2276 From Andrea Alciati Bourges, 1 March 1530 [CWE]","1530","1530-03-01","0","1530","1530-03-01","0","0","0","bourges_FR_gid_3031005","0","0","freiburg_DE_gid_2925177","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_2394","2394 [CWE] // 2394 [ALLEN]","639f3ce8-be9f-4993-b200-3fcde3a3b4e9","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","2394 From Andrea Alciati Bourges, 7 October 1530 [CWE]","1530","1530-10-07","0","1530","1530-10-07","0","0","0","bourges_FR_gid_3031005","0","0","freiburg_DE_gid_2925177","1","0","latin","familiar letter","letter_1_to_1"
"gbudé_gueudet_bibl_801","Geuudet App. Bibl. 801","639f3ce8-be9f-4993-b200-3fcde3a3b4e9","0","0","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","0","0","De André Alciat, Avignon, 31 décembre 1520","1520","1520-12-31","0","1520","1520-12-31","0","0","0","avignon_FR_gid_3035681","0","0","paris_FR_gid_2988507","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_183","183 [CWE] // 183 [ALLEN]","cacec994-3346-4081-bd41-7c3dd391e8e3","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","183 From Josse Bade [Paris], 7 March 1505 [CWE]","1505","1505-03-07","0","1505","1505-03-07","0","0","0","paris_FR_gid_2988507","1","0","paris_FR_gid_2988507","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_263","263 [CWE] // 263 [ALLEN]","cacec994-3346-4081-bd41-7c3dd391e8e3","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","263 From Josse Bade Paris, 19 May 1512 [CWE]","1512","1512-05-19","0","1512","1512-05-19","0","0","0","paris_FR_gid_2988507","0","0","cambridge_GB_gid_2653941","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_346","346 [CWE] // 346 [ALLEN]","cacec994-3346-4081-bd41-7c3dd391e8e3","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","346 From Josse Bade Paris, 19 August 1515 [CWE]","1515","1515-08-19","0","1515","1515-08-19","0","0","0","paris_FR_gid_2988507","0","0","basel_CH_gid_2661604","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_434","434 [CWE] // 434 [ALLEN]","cacec994-3346-4081-bd41-7c3dd391e8e3","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","434 From Josse Bade [Paris], 6 July 1516 [CWE]","1516","1516-07-06","0","1516","1516-07-06","0","0","0","paris_FR_gid_2988507","1","0","antwerpen_BE_gid_2803138","1","0","latin","familiar letter","letter_1_to_1"
